kelas;Hari;Jam;prof;Mata Kuliah;SKS;JPM;Dosen;Ruang
MICE-4C;Kamis;14.10 - 15.00;4;Perencanaan Incentive Travel;2;4;Imam Syafganti, S.Sos., M.Si., Ph.D./Karbala Madania, S.I.Kom.,M.Si;105
MICE-2C;Jumat;07.30 - 08.20;2;Keprotokolan;2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;116
MICE-4C;Jumat;07.30 - 08.20;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M./Yuningsih S.E., M.Si;106
MICE-6C;Jumat;07.30 - 08.20;6;Manajemen Sumber Daya Manusia;2;4;Meisa Sofia, S.Tr., M.Par;online
MICE-2C;Jumat;08.20 - 09.10;2;Keprotokolan;2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;116
MICE-4C;Jumat;08.20 - 09.10;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M./Yuningsih S.E., M.Si;106
MICE-6C;Jumat;08.20 - 09.10;6;Manajemen Sumber Daya Manusia;2;4;Meisa Sofia, S.Tr., M.Par;online
MICE-2C;Jumat;09.10 - 10.00;2;Manajemen Logistik MICE;2;4;Fauzi Mubarak, S.ST, MT;116
MICE-4C;Jumat;09.10 - 10.00;4;Bahasa Inggris 4;2;4;Dr. Tantri Sari Safitry, S.Pd., M.Pd;106
MICE-2C;Jumat;10.00 - 10.50;2;Manajemen Logistik MICE;2;4;Fauzi Mubarak, S.ST, MT;116
MICE-4C;Jumat;10.00 - 10.50;4;Bahasa Inggris 4;2;4;Dr. Tantri Sari Safitry, S.Pd., M.Pd;106
MICE-2C;Jumat;10.50 - 11.40;2;Bahasa Inggris 2;2;4;Vini Deliana, S.Pd.,M.Pd;116
MICE-4C;Jumat;10.50 - 11.40;4;Bahasa Mandarin 1;2;4;Hasan, S.Sos, M. Pd;106
MICE-2C;Jumat;12.30 - 13.20;2;Bahasa Inggris 2;2;4;Vini Deliana, S.Pd.,M.Pd;116
MICE-4C;Jumat;12.30 - 13.20;4;Bahasa Mandarin 1;2;4;Hasan, S.Sos, M. Pd;106
MICE-2C;Jumat;13.20 - 14.10;2;Pendidikan Kewarganegaraan;2;4;Erlyn Rosalina, S.Hum., M.Pd;116
MICE-4C;Jumat;13.20 - 14.10;4;Bahasa Jepang 2;2;4;Asrie Rahmiatie, S.S., M.Hum;107
MICE-2C;Jumat;14.10 - 15.00;2;Pendidikan Kewarganegaraan;2;4;Erlyn Rosalina, S.Hum., M.Pd;116
MICE-4C;Jumat;14.10 - 15.00;4;Bahasa Jepang 2;2;4;Asrie Rahmiatie, S.S., M.Hum;107
MICE-4D;Senin;09.10 - 10.00;4;CIQ (Custom Immigration Quarantine);2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;309
MICE-4D;Senin;10.00 - 10.50;4;CIQ (Custom Immigration Quarantine);2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;309
MICE-4D;Senin;10.50 - 11.40;4;Self Manajemen dan Interpersonal  Skill;2;4;M. Hamdi, S.Psi;online
MICE-4D;Senin;12.30 - 13.20;4;Self Manajemen dan Interpersonal  Skill;2;4;M. Hamdi, S.Psi;online
MICE-4D;Senin;13.20 - 14.10;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M./Yuningsih S.E., M.Si;203
MICE-4D;Senin;14.10 - 15.00;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M./Yuningsih S.E., M.Si;203
MICE-4D;Senin;15.15 - 16.05;4;Pemprograman Web Dinamis;2;4;Firman Syah, S.Sos.I, M.M;online
MICE-4D;Senin;16.05 - 16.55;4;Pemprograman Web Dinamis;2;4;Firman Syah, S.Sos.I, M.M;online
MICE-4D;Selasa;07.30 - 08.20;4;Pemprograman Web Dinamis;2;4;Firman Syah, S.Sos.I, M.M;303
MICE-6D;Selasa;07.30 - 08.20;6;Penyelenggaraan Konvensi;6;12;Annisa Wardhani, S.S.T, M.T/Noni Noerkaisar, S.M.B., M.M.;online
MICE-4D;Selasa;08.20 - 09.10;4;Pemprograman Web Dinamis;2;4;Firman Syah, S.Sos.I, M.M;303
MICE-6D;Selasa;08.20 - 09.10;6;Penyelenggaraan Konvensi;6;12;Annisa Wardhani, S.S.T, M.T/Noni Noerkaisar, S.M.B., M.M.;online
MICE-4D;Selasa;09.10 - 10.00;4;Self Manajemen dan Interpersonal  Skill;2;4;M. Hamdi, S.Psi;307
MICE-6D;Selasa;09.10 - 10.00;6;Penyelenggaraan Konvensi;6;12;Annisa Wardhani, S.S.T, M.T/Noni Noerkaisar, S.M.B., M.M.;online
MICE-4D;Selasa;10.00 - 10.50;4;Self Manajemen dan Interpersonal  Skill;2;4;M. Hamdi, S.Psi;307
MICE-6D;Selasa;10.00 - 10.50;6;Penyelenggaraan Konvensi;6;12;Annisa Wardhani, S.S.T, M.T/Noni Noerkaisar, S.M.B., M.M.;online
MICE-4D;Selasa;10.50 - 11.40;4;Bahasa Inggris 4;2;4;Dr. Tantri Sari Safitry, S.Pd., M.Pd;307
MICE-6D;Selasa;10.50 - 11.40;6;Penyelenggaraan Konvensi;6;12;Annisa Wardhani, S.S.T, M.T/Noni Noerkaisar, S.M.B., M.M.;online
MICE-4D;Selasa;12.30 - 13.20;4;Bahasa Inggris 4;2;4;Dr. Tantri Sari Safitry, S.Pd., M.Pd;307
MICE-6D;Selasa;12.30 - 13.20;6;Penyelenggaraan Konvensi;6;12;Annisa Wardhani, S.S.T, M.T/Noni Noerkaisar, S.M.B., M.M.;online
MICE-4D;Selasa;13.20 - 14.10;4;Perencanaan Incentive Travel;2;4;Dr. Christina L. Rudatin, SE, M.Si;online
MICE-6D;Selasa;13.20 - 14.10;6;Penyelenggaraan Konvensi;6;12;Annisa Wardhani, S.S.T, M.T/Noni Noerkaisar, S.M.B., M.M.;online
MICE-6D;Selasa;13.20 - 14.10;6;Kewirausahaan;2;4;Sudarno, S.E., M.Si.;online
MICE-4D;Selasa;14.10 - 15.00;4;Perencanaan Incentive Travel;2;4;Dr. Christina L. Rudatin, SE, M.Si;online
MICE-6D;Selasa;14.10 - 15.00;6;Penyelenggaraan Konvensi;6;12;Annisa Wardhani, S.S.T, M.T/Noni Noerkaisar, S.M.B., M.M.;online
MICE-6D;Selasa;14.10 - 15.00;6;Kewirausahaan;2;4;Sudarno, S.E., M.Si.;online
MICE-6D;Rabu;07.30 - 08.20;6;Penyelenggaraan Pameran;6;12;Hasan, S.Sos, M. Pd;online
MICE-6D;Rabu;07.30 - 08.20;6;Manajemen Sumber Daya Manusia;2;4;Sujiwo Priambodo, S.E., M.M.;online
MICE-6D;Rabu;08.20 - 09.10;6;Penyelenggaraan Pameran;6;12;Hasan, S.Sos, M. Pd;online
MICE-6D;Rabu;08.20 - 09.10;6;Manajemen Sumber Daya Manusia;2;4;Sujiwo Priambodo, S.E., M.M.;online
MICE-4D;Rabu;09.10 - 10.00;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M./Yuningsih S.E., M.Si;305
MICE-6D;Rabu;09.10 - 10.00;6;Penyelenggaraan Pameran;6;12;Hasan, S.Sos, M. Pd;online
MICE-6D;Rabu;09.10 - 10.00;6;Manajemen Strategik;2;4;Dr. Christina L. Rudatin, SE, M.Si/Karbala Madania S.I.Kom., M.Si;online
MICE-4D;Rabu;10.00 - 10.50;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M./Yuningsih S.E., M.Si;305
MICE-6D;Rabu;10.00 - 10.50;6;Penyelenggaraan Pameran;6;12;Hasan, S.Sos, M. Pd;online
MICE-6D;Rabu;10.00 - 10.50;6;Manajemen Strategik;2;4;Dr. Christina L. Rudatin, SE, M.Si/Karbala Madania S.I.Kom., M.Si;online
MICE-4D;Rabu;10.50 - 11.40;4;Bahasa Jepang 2;2;4;Asrie Rahmiatie, S.S., M.Hum;305
